Year,CPI Value,Salary,Player(s),Adjusted Salary
1968,34.8,125000,Willie Mays (SF NL),850344.83
1969,36.67,135000,Willie Mays (SF NL),871539.68
1970,38.84,135000,Willie Mays (SF NL),822846.55
1971,40.51,167000,Carl Yastrzemski (Bos AL),975929.7
1972,41.85,167000,Carl Yastrzemski (Bos AL),944681.29
1973,44.45,200000,Dick Allen (Chi AL),1065178.85
1974,49.33,250000,Dick Allen (Chi AL),1199756.74
1975,53.84,240000,Hank Aaron (Mil AL),1055286.78
1976,56.94,240000,Hank Aaron (Mil AL),997833.51
1977,60.61,560000,Mike Schmidt (Ph NL),2187298.47
1978,65.22,560000,Mike Schmidt (Ph NL),2032691.81
1979,72.57,800000,Rod Carew (Cal AL),2609739.56
1980,82.38,1000000,Nolan Ryan (Hou NL),2873707.21
1981,90.93,1400000,Dave Winfield (NY AL),3644896.07
1982,96.5,1500000,Mike Schmidt (Ph NL),3679834.2
1983,99.6,1652333,Mike Schmidt (Ph NL),3927376.56
1984,103.9,1989875,Mike Schmidt (Ph NL),4533927.31
1985,107.6,2096967,Mike Schmidt (Ph NL),4613639.22
1986,109.6,1964423,Jim Rice (Bos AL),4243153.68
1987,113.6,2412500,Jim Rice (Bos AL),5027514.08
1988,118.3,2340000,Ozzie Smith (StL NL),4682690.11
1989,124,2766667,"Orel Hershiser (LA NL), Frank Viola (Min/NY AL/NL)",5282013.54
1990,130.7,3200000,Robin Yount (Mil AL),5796137.72
1991,136.2,3800000,Darryl Stawberry (LA NL),6604969.16
1992,140.3,6100000,Bobby Bonilla (NY NL),10292869.57
1993,144.5,6200000,Bobby Bonilla (NY NL),10157530.8
1994,148.2,6300000,Bobby Bonilla (NY NL),10063676.11
1995,152.4,9237500,Cecil Fielder (Det AL),14349401.57
1996,156.9,9237500,Cecil Fielder (Det AL),13937850.86
1997,160.5,10000000,Albert Belle (Chi AL),14749906.54
1998,163,14936667,Gary Sheffield (Fla/LA NL),21693538.64
1999,166.6,11949794,Albert Belle (Bal AL),16980470.78
2000,172.2,15714286,Kevin Brown (LA NL),21603584.27
2001,177.1,22000000,Alex Rodriguez (Tex AL),29408198.76
2002,179.9,22000000,Alex Rodriguez (Tex AL),28950483.6
2003,184,22000000,Alex Rodriguez (Tex AL),28305391.3
2004,188.9,21726881,Alex Rodriguez (NY AL),27228877.19
2005,195.3,26000000,Alex Rodriguez (NY AL),31516313.36
2006,201.6,21680727,Alex Rodriguez (NY AL),25459367.99
2007,207.34,23428571,Jason Giambi (NY AL),26750198.63
2008,215.3,28000000,Alex Rodriguez (NY AL),30787775.2
2009,214.54,33000000,Alex Rodriguez (NY AL),36414132.56
2010,218.06,33000000,Alex Rodriguez (NY AL),35826323.03
2011,224.94,32000000,Alex Rodriguez (NY AL),33678100.83
2012,229.59,30000000,Alex Rodriguez (NY AL),30933751.47
2013,232.96,29000000,Alex Rodriguez (NY AL),29470054.95
