Rank,NCT Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor/Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL,Locations
11,NCT00072605,Experimental Ebola Vaccine Trial,Completed,No Results Available,"Hemorrhagic Fever, Ebola|Healthy",Drug: VRC-EBODNA012-00-VP,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),Both,Adult,Phase 1,27,NIH,Interventional,Primary Purpose: Treatment,040028|04-I-0028,4-Nov-03,Oct-03,Aug-07,23-Aug-07,Aug-07,No Study Results Posted,null,null,,http://ClinicalTrials.gov/show/NCT00072605,
12,NCT02296983,"A Study to Find Out if the New Ebola Vaccine is Safe and Stimulates Immunity That Might Protect Adults in Kilifi, Kenya.",Recruiting,No Results Available,Ebola Virus Disease,Biological: VSV-ZEBOV,"University of Oxford|World Health Organization|Wellcome Trust|Institute of Tropical Medicine, University of Tuebingen|Albert Schweitzer Hospital|Philipps University Marburg Medical Center|UniversitAotsklinikum Hamburg-Eppendorf|University Hospital, Geneva",Both,Adult,Phase 1,40,Other,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,OXTREC 71-14|SSC 2976,11-Nov-14,Dec-14,Nov-15,18-Dec-14,Nov-14,No Study Results Posted,null,Jun-15,"The nature, frequency, and severity of adverse events (AEs) and/or serious adverse events (SAEs) with causal link to the study intervention|Incidence and severity of local and systemic reactogenicity signs and symptoms|Incidence of unsolicited adverse events (AEs)|Incidence of serious adverse events (SAEs)|Distribution of values of safety laboratory measures at baseline and at follow-up visits post-vaccination|Persistence of titres of ZEBOV-specific IgG antibodies|Detection, magnitude and duration of VSV-ZEBOV viraemia and shedding|Titres of neutralising ZEBOV-specific IgG antibodies|Pattern of ZEBOV specific T cell responses|Titers of ZEBOV-specific IgG antibodies",http://ClinicalTrials.gov/show/NCT02296983,
13,NCT02295501,"A Prospective, Open Label, Phase 1 Safety Study of Passive Immune Therapy During Acute Ebola Virus Infection Using Transfusion of INTERCEPT Plasma Prepared From Volunteer Donors Who Have Recovered From Ebola Virus Infection",Recruiting,No Results Available,Acute Ebola Virus Infection,Biological: INTERCEPT Plasma,Cerus Corporation,Both,Child|Adult|Senior,Phase 1,12,Industry,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,CLI 00113,4-Nov-14,Dec-14,Jan-16,12-Dec-14,Dec-14,No Study Results Posted,null,Dec-15,"Proportion of subjects who survive EBV|Proportion of subjects with adverse events|Proportion of subjects with Serious Adverse Events|Interval from diagnosis of acute EVD to death|Proportion of subjects with clinical remission as assessed by three consecutive negative tests prior to discharge|Interval from diagnosis of acute EVD to clinical remission|Decrease in EBOV viral load titers|Hemostatic function as assessed by PT, APTT, fibrinogen and D-dimer",http://ClinicalTrials.gov/show/NCT02295501,
14,NCT02269423,Vaccine Treatment for Ebola Virus in Healthy Adults,Recruiting,No Results Available,Ebola Virus,Biological: BPSC-1001|Other: Placebo,NewLink Genetics Corporation|BioProtection Systems Corporation  |Department of Defense,Both,Adult,Phase 1,117,Industry|Other|U.S. Fed,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject,  Caregiver,  Investigator)",WRAIR #2163,10-Oct-14,Oct-14,Jan-16,16-Oct-14,Oct-14,No Study Results Posted,null,Jul-15,"Evaluating safety, tolerability and reactogenicity|Antibody Response|Vaccine Viremia",http://ClinicalTrials.gov/show/NCT02269423,
15,NCT02287480,VSV-ZEBOV Geneva Vaccine Trial,Suspended,No Results Available,Ebola Virus,Biological: VSV-ZEBOV,"University Hospital, Geneva|World Health Organization|Wellcome Trust|UniversitAotsklinikum Hamburg-Eppendorf|Philipps University Marburg Medical Center|Albert Schweitzer Hospital|Institute of Tropical Medicine, University of Tuebingen|KEMRI-Wellcome Trust Collaborative Research Program",Both,Adult,Phase 1|Phase 2,115,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject,  Caregiver,  Investigator,  Outcomes Assessor)",CCER 14-221,2-Nov-14,Nov-14,Dec-15,15-Dec-14,Dec-14,No Study Results Posted,VSV-ZEBOV,Aug-15,Incidence of adverse events with causal link to study intervention|Titers of ZEBOV-specific IgG antibodies|Incidence of solicited local and systemic reactogenicity signs and symptoms|Incidence of unsolicited adverse events|Incidence of serious adverse events (SAE)|Magnitude (copies/ml) of VSVÎ”G-ZEBOV viremia|Incidence of change(s) from baseline for safety laboratory measures|Persistence of titers of ZEBOV-specific IgG antibodies|Titers of neutralizing ZEBOV-specific IgG antibodies|Pattern of ZEBOV-specific T cell responses|Duration of VSVÎ”G-ZEBOV viremia|Magnitude (copies/ml) of VSVÎ”G-ZEBOV shedding,http://ClinicalTrials.gov/show/NCT02287480,
16,NCT02271347,"An Open-Label, Multicenter Study of the Safety and Anti Viral Activity of Brincidofovir (BCV, CMX001) for Ebola Virus Disease",Not yet recruiting,No Results Available,Ebola Virus,Drug: CMX001,Chimerix,Both,Child|Adult|Senior,Phase 2,50,Industry,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,CMX001-205,7-Oct-14,Oct-14,Jan-16,24-Oct-14,Oct-14,No Study Results Posted,CMX,Jan-16,Number of Participants with Adverse Events as a Measure of Safety and Tolerability.,http://ClinicalTrials.gov/show/NCT02271347,
17,NCT02289027,A Clinical Trial on the Candidate Vaccine cAd3-EBOZ in Healthy Adults in Switzerland,Recruiting,No Results Available,Ebola Vaccines,Biological: cAd3-EBOZ,"University of Lausanne Hospitals|Infectious Disease Service, CHUV, Lausanne|Policlinique MAcdicale Universitaire|Clinical Trial Unit, Lausanne University Hospital|Swiss Tropical & Public Health Institute|University of Lausanne|GlaxoSmithKline|World Health Organization",Both,Adult,Phase 1|Phase 2,120,Other|Industry,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject,  Caregiver,  Investigator,  Outcomes Assessor)",cAd3-EBOZ Lau,14-Oct-14,Oct-14,null,12-Nov-14,Nov-14,No Study Results Posted,null,Sep-15,Solicited local and systemic reactogenicity signs and symptoms|Unsolicited adverse events of all severities|Change from baseline for safety laboratory measures|Occurrence of serious adverse events and suspected unexpected serious adverse reactions|Antibody responses as measured by ELISA (anti-EBOZ immunoglobulins titers) and by antigen-specific neutralization assays|T cell immune responses as measured by ex-vivo ELISPOT,http://ClinicalTrials.gov/show/NCT02289027,
18,NCT01353027,Safety Study of Single Administration Post-Exposure Prophylaxis Treatment for Ebola Virus,Completed,No Results Available,Ebola Hemorrhagic Fever,Drug: Placebo|Drug: AVI-6002,Sarepta Therapeutics|Department of Defense,Both,Adult,Phase 1,30,Industry|U.S. Fed,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject,  Caregiver,  Investigator,  Outcomes Assessor)",6002-us-101,10-May-11,May-10,Nov-11,27-Mar-12,Mar-12,No Study Results Posted,null,Nov-11,Number of participants with adverse events|Drug concentration in plasma|Drug concentration in urine,http://ClinicalTrials.gov/show/NCT01353027,
19,NCT01518881,"Safety, Tolerability and Pharmacokinetic First in Human (FIH) Study of Intravenous (IV) TKM-100201 Infusion",Terminated,No Results Available,Ebola Virus Infection,Drug: TKM-100201|Drug: Placebo,Tekmira Pharmaceuticals Corporation|Department of Defense,Both,Adult,Phase 1,24,Industry|U.S. Fed,Interventional,Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject),TKM-EBOV-001,8-Nov-11,Jan-12,Jul-12,8-Jan-14,Jan-14,No Study Results Posted,null,Jul-12,"Safety and Tolerability of Treatment with TKM-100201|Pharmacokinetics - Cmax, Tmax and AUC will be calculated",http://ClinicalTrials.gov/show/NCT01518881,
20,NCT02319772,"A Phase 1 Study to Evaluate the Safety, Tolerability and Pharmacokinetics of BCX4430",Recruiting,No Results Available,Filovirus Infections|Ebola Virus Infection,Drug: BCX4430|Drug: Placebo,BioCryst Pharmaceuticals|National Institute of Allergy and Infectious Diseases (NIAID),Both,Adult,Phase 1,88,Industry|NIH,Interventional,"Allocation: Randomized|Endpoint Classification: Pharmacokinetics Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject,  Caregiver,  Investigator,  Outcomes Assessor)",BCX4430-101|DMID 14-0030,11-Dec-14,Dec-14,Aug-15,15-Dec-14,Dec-14,No Study Results Posted,null,Jun-15,"Safety, measured by the frequency and severity of adverse events, laboratory abnormalities and other safety parameters following single (Part 1) and multiple (Part 2) doses of BCX4430|Plasma exposure of BCX4430, determined by the concentration time profile and PK parameters following single (Part 1) and multiple (Part 2) doses of BCX4430|The urinary elimination of BCX4430, determined by the concentration of drug following single (Part 1) and multiple (Part 2) doses of BCX4430",http://ClinicalTrials.gov/show/NCT02319772,
21,NCT01593072,"A Study to Assess the Safety, Tolerability and Pharmacokinetics of AVI-7537 in Healthy Adult Volunteers",Withdrawn,No Results Available,Ebola Hemorrhagic Fever,Drug: AVI-7537|Other: Normal Saline Solution (NSS),Sarepta Therapeutics|Department of Defense,Both,Adult,Phase 1,0,Industry|U.S. Fed,Interventional,"Allocation: Randomized|Endpoint Classification: Pharmacokinetics Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject,  Caregiver,  Investigator,  Outcomes Assessor)",7537-us-101|W9113M-10-C-0056,3-May-12,Aug-12,Jan-13,23-Jan-13,Jan-13,No Study Results Posted,null,Jan-13,"The outcome measures are Serial PK Day 1 over 24 hrs(pre-dose,10 min post,30 min post, 1hr 1.5,2,4,6, 8, 12,16,24,28,32,36, and 48 hrs post-dose), daily through level and on Day 14 (last day of dosing) serial PK until 48 hrs post last dose.|To evaluate the pharmacokinetics (PK) of 14 once daily doses of AVI-7537 in healthy male and female subjects,",http://ClinicalTrials.gov/show/NCT01593072,
22,NCT02041715,"Safety, Tolerability and Pharmacokinetic First in Human (FIH) Study for Intravenous (IV) TKM-100802",Suspended,No Results Available,Ebola Virus Infection,Drug: TKM-100802 for Injection|Drug: Placebo,Tekmira Pharmaceuticals Corporation|Department of Defense,Both,Adult,Phase 1,28,Industry|U.S. Fed,Interventional,Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject),TKM-EBOV-002,9-Jan-14,Jan-14,Jul-14,31-Jul-14,Jul-14,No Study Results Posted,null,Jul-14,"Safety and tolerability of TKM-100802|Pharmacokinetics - Cmax, Tmax and AUC",http://ClinicalTrials.gov/show/NCT02041715,
23,NCT02313077,A Safety and Immunogenicity Study of Heterologous Prime-Boost Ebola Vaccine Regimens in Healthy Participants,Not yet recruiting,No Results Available,Healthy,Biological: MVA-BN-filo|Biological: Ad26. ZEBOV|Other: Placebo,Crucell Holland BV,Both,Adult,Phase 1,72,Industry,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject,  Investigator,  Outcomes Assessor)",CR106478|VAC52150EBL1001|2014-004883-39,5-Dec-14,Dec-14,Feb-16,10-Dec-14,Dec-14,No Study Results Posted,null,Feb-16,"Number of participants with adverse events|Number of participants with serious adverse events|Number of participants with reactogenicity (ie, solicited local and systemic adverse events)|Immune responses to the study vaccine regimens as measured by a virus neutralization assay|Immune responses to the study vaccine regimens measured by an enzyme-linked immunosorbent assay (ELISA)|Immune responses to the study vaccine regimens as measured by an enzyme-linked immunospot (ELISpot) assay",http://ClinicalTrials.gov/show/NCT02313077,
24,NCT00646152,Poly-ICLC to Prevent Respiratory Viral Infections A Safety Study,Completed,No Results Available,Influenza|Severe Acute Respiratory Distress Syndrome|Smallpox|Ebola|Unknown Respiratory Viruses,Drug: Poly-ICLC,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),Both,Adult|Senior,Phase 1,57,NIH,Interventional,Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Double-Blind,080093|08-I-0093,27-Mar-08,Mar-08,Dec-09,2-Jul-14,Jul-14,No Study Results Posted,null,Dec-09,"Frequency of AE greater than or equal to grade 2 by subjects who receive drug|Intranasal cytokines, nasal NO production, inflammatory cells in nasal wash",http://ClinicalTrials.gov/show/NCT00646152,
25,NCT00068926,VRC 300: Screening of Healthy Volunteers for Clinical Trials of Investigational Vaccines to Prevent Infectious Diseases,Completed,No Results Available,Healthy,,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),Both,Adult|Senior,,958,NIH,Observational,,030285|03-I-0285,11-Sep-03,Sep-03,Jun-11,30-Jun-11,Jun-11,No Study Results Posted,null,null,,http://ClinicalTrials.gov/show/NCT00068926,
